Read Between the Lines,Tom Cardy,200,2,tzxX2AfbgzI
Turn to Stone,Electric Light Orchestra,194.032,2,7gncH7WOQvY
Jackrabbit,San Fermin,194.032,2,0Q0QznsDlrs
Lisztomania,Phoenix,194.032,2,dqGp2hS7oJk
Fake It,Bastille,194.032,2,t_SAyl164aY
The Wolf,Mumford & Sons,194.032,2,_1nBOa5irUM
Acid Girl,Phoneboy,188.232,2,guO1q6hIzEs
Icarus,Bastille,155.968,1,HtW-9GMZFoU
Trauma,Aligns & Rubicones,155.968,1,Mj1MOOg1UyU
the loop,azar & SEDVTED,155.968,1,pSFLgU_jNlI
Tuning Out...,Bastille,155.968,1,8WEhXfx5eSQ
Blue,Far Caspian,155.968,1,Vz3Lq3AGsaM
Chapstick,COIN,155.968,1,Opy_M0PeWCk
The Wolf,SIAMES,155.968,1,bFlZVGGiI7Y
The Ultimate Showdown of Ultimate Destiny,Lemon Demon,150,1,nbo4y7pUlZA
Paradox (From BPM: Bullets Per Minute),Sam Houghton,150,1,FJITHvAmS_Y
New Slang,The Shins,150,1,1veF_lrvij8
Dance  Dance,Fall Out Boy,150,1,P43XYXqJJlU
Uranium Fever,Elton Britt,150,1,wKVmhaSY1X8
"Waltz in E-Major  Op. 15 ""Moon Waltz""",Cojum Dip,150,1,4mMc83y4foU
Billie Jean,Jolynn J Chin,150,1,1MzENTL0h8w
Sleep It Off,That Handsome Devil,150,1,OF_pOs8CY1U
Clouds (Crypto Remix),Paper Idol,150,1,Q9429TabWgU
Number Nine,Aviators,150,1,2oq4LeHZzW4
Synthesizers,Butch Walker,150,1,ZUNgWx7Ltrk
Open Up,Phoneboy,150,1,Ue4enkEvTDY
Ferrari,Phoneboy,150,1,p2Kepz7EYK8
Wild Child,The Black Keys,150,1,6LbIU56moBw
Junkies in Love,That Handsome Devil,150,1,PFigHWzfmfI
From the Start,Good Kid,150,1,F_X3qKVZrWU
Euphemia,Area 11,150,1,ZDt24hmTqbA
T-Shirt Weather,Circa Waves,150,1,BUjKA_JivZE
Short Skirt / Long Jacket,CAKE,150,1,85zV1fpSJQ0
